,,,,,,
1. 実装済みモジュール,,,,,,
,ファイルパス,使用技術,行数,消費トークン,難易度,説明
,package.json,JSON,50,1300,易,依存関係定義
,tsconfig.json,JSON,35,200,易,TypeScript設定
,next.config.js,JavaScript,40,300,易,Next.js設定
,tailwind.config.js,JavaScript,155,1200,普,Tailwind CSS設定（カスタムカラー・アニメーション）
,postcss.config.js,JavaScript,8,100,易,PostCSS設定
,.env.example,Plain Text,8,100,易,環境変数テンプレート
,.gitignore,Plain Text,35,150,易,Git除外設定
,styles/globals.css,CSS,130,1000,普,グローバルCSS（カスタムアニメーション定義）
,types/database.ts,TypeScript,400,2500,難,Supabase型定義（全テーブル）
,supabase-migration.sql,SQL,650,3000,難,DB初期化（テーブル・関数・トリガー・RLS）
,lib/supabase/client.ts,TypeScript,20,300,易,クライアントサイドSupabase
,lib/supabase/server.ts,TypeScript,25,350,易,サーバーサイドSupabase設定
,lib/config/game-balance.ts,TypeScript,250,1800,普,ゲームバランス設定（編集可能）
,lib/stores/user-store.ts,TypeScript,140,1300,普,ユーザー・プロフィール管理
,lib/stores/task-store.ts,TypeScript,280,2800,難,タスクCRUD・フィルタリング
,lib/stores/genre-store.ts,TypeScript,180,1700,普,ジャンル管理
,lib/stores/toast-store.ts,TypeScript,80,700,易,Toast通知管理
,lib/utils.ts,TypeScript,20,200,易,cn関数（Tailwindクラスマージ）
,lib/utils/date-utils.ts,TypeScript,180,1400,普,日付処理（date-fnsラッパー）
,lib/utils/reward-utils.ts,TypeScript,220,1900,難,報酬・スタミナ計算ロジック
,app/layout.tsx,TypeScript/React,58,500,易,ルートレイアウト
,app/page.tsx,TypeScript/React,90,800,普,ダッシュボード（仮実装）
,app/auth/login/page.tsx,TypeScript/React,45,500,易,ログインページ（仮実装）
,app/auth/callback/route.ts,TypeScript,25,350,普,認証コールバック
,scripts/test-utils.ts,TypeScript,70,600,易,テストヘルパー関数
,scripts/test-auth.ts,TypeScript,140,1000,普,認証・接続テスト
,scripts/test-rewards.ts,TypeScript,250,1900,普,報酬計算テスト
,scripts/test-tasks.ts,TypeScript,280,2200,難,タスクCRUDテスト
,scripts/test-genres.ts,TypeScript,200,1600,普,ジャンル管理テスト
,docs/SETUP_GUIDE.md,Markdown,450,3500,普,セットアップガイド
,docs/API_DESIGN.md,Markdown,400,3000,普,API設計書
,docs/COMPONENT_DESIGN.md,Markdown,600,4000,難,コンポーネント設計書
,docs/TEST_GUIDE.md,Markdown,450,3200,普,テスト実行ガイド
,README.md,Markdown,180,1500,易,プロジェクト概要
,chronos-rewards-requirements.md,Markdown,350,2500,普,要件定義書
,chronos-rewards-database-design.md,Markdown,650,4500,難,DB設計書
,chronos-rewards-architecture-diagrams.md,Markdown,800,6000,難,アーキテクチャ図
,,,,,,
,,,,,,
2. 未実装モジュール,,,,,,
,ファイルパス,使用技術,予想行数,予想トークン,難易度,説明
,components/ui/button.tsx,TypeScript/React,80,800,易,ボタンコンポーネント
,components/ui/card.tsx,TypeScript/React,40,400,易,カードコンポーネント
,components/ui/input.tsx,TypeScript/React,60,600,易,入力フィールド
,components/ui/textarea.tsx,TypeScript/React,50,500,易,テキストエリア
,components/ui/select.tsx,TypeScript/React,70,700,普,セレクトボックス
,components/ui/modal.tsx,TypeScript/React,80,800,普,モーダルダイアログ
,components/ui/toast.tsx,TypeScript/React,100,1000,普,Toast通知UI
,components/ui/badge.tsx,TypeScript/React,40,400,易,バッジ
,components/ui/progress.tsx,TypeScript/React,50,500,易,プログレスバー
,components/layout/Header.tsx,TypeScript/React,120,1200,普,アプリヘッダー
,components/layout/FilterChips.tsx,TypeScript/React,150,1500,普,フィルタチップ群
,components/layout/QuickAddButtons.tsx,TypeScript/React,80,800,易,クイック登録ボタン
,components/rewards/CoinDisplay.tsx,TypeScript/React,80,800,普,コイン表示
,components/rewards/CrystalDisplay.tsx,TypeScript/React,80,800,普,クリスタル表示
,components/rewards/StaminaBar.tsx,TypeScript/React,100,1000,普,スタミナゲージ
,components/tasks/TaskCard.tsx,TypeScript/React,200,2500,難,タスクカード（スワイプ対応）
,components/tasks/TaskList.tsx,TypeScript/React,100,1000,普,タスク一覧
,components/tasks/TaskForm.tsx,TypeScript/React,350,4000,難,タスク作成・編集フォーム
,components/tasks/ChecklistEditor.tsx,TypeScript/React,150,1500,普,チェックリスト編集
,components/tasks/GenreSelector.tsx,TypeScript/React,120,1200,普,ジャンル選択
,components/tasks/DeadlinePicker.tsx,TypeScript/React,130,1300,普,期限日時選択
,components/animations/RewardAnimation.tsx,TypeScript/React,150,1800,難,報酬獲得アニメーション
,components/animations/LevelUpAnimation.tsx,TypeScript/React,100,1200,普,レベルアップ演出
,components/animations/StaminaRecoveryEffect.tsx,TypeScript/React,80,1000,普,スタミナ回復エフェクト
,components/providers/AuthProvider.tsx,TypeScript/React,100,1000,普,認証プロバイダー
,app/page.tsx（完成版）,TypeScript/React,200,2000,普,ダッシュボード完成版
,app/auth/login/page.tsx（完成版）,TypeScript/React,60,600,易,ログインページ完成版
